#############################################################
#
# GOV.CN主域名列表
#
# Version: 20161128
#
# 1. DOMAIN.GOV.CN或WWW.DOMAIN.GOV.CN当前可解析认为域名有效.
# 2. WWW.GOV.CN及中文域名不在此列,共计34433条记录.
#############################################################
province|domain
AH|93tl.gov.cn
AH|aa.gov.cn
AH|acec.gov.cn
AH|ada.gov.cn
AH|aepb.gov.cn
AH|afa.gov.cn
AH|ah.gov.cn
AH|ah12380.gov.cn
AH|ah313.gov.cn
AH|ah9.gov.cn
AH|ah93.gov.cn
AH|ahaic.gov.cn
AH|ahaic-bb.gov.cn
AH|ahaic-chuzhou.gov.cn
AH|ahaic-fy.gov.cn
AH|ahaic-hn.gov.cn
AH|ahaic-la.gov.cn
AH|ahaic-szh.gov.cn
AH|ahaic-tl.gov.cn
AH|ahaic-wh.gov.cn
AH|ahaq.gov.cn
AH|ahaq-l-tax.gov.cn
AH|ahaqly.gov.cn
AH|ahaq-n-tax.gov.cn
AH|ahaqscxjw.gov.cn
AH|ahbbhrss.gov.cn
AH|ahbbjjjc.gov.cn
AH|ahbbjt.gov.cn
AH|ahbb-l-tax.gov.cn
AH|ahbm.gov.cn
AH|ahbofcom.gov.cn
AH|ahbrm.gov.cn
AH|ahbzgt.gov.cn
AH|ahbz-l-tax.gov.cn
AH|ahbzly.gov.cn
AH|ahbznw.gov.cn
AH|ahcc.gov.cn
AH|ahccci.gov.cn
AH|ahccz.gov.cn
AH|ahch.gov.cn
AH|ahchizly.gov.cn
AH|ahci.gov.cn
AH|ahciq.gov.cn
AH|ahcjw.gov.cn
AH|ahcoop.gov.cn
AH|ahcourt.gov.cn
AH|ahcredit.gov.cn
AH|ahcss.gov.cn
AH|ahcxb.gov.cn
AH|ahcz.gov.cn
AH|ahczcjw.gov.cn
AH|ahczhb.gov.cn
AH|ahczhrss.gov.cn
AH|ahczjj.gov.cn
AH|ahczkj.gov.cn
AH|ahczly.gov.cn
AH|ahczrd.gov.cn
AH|ahczsjj.gov.cn
AH|ahczsl.gov.cn
AH|ahczsw.gov.cn
AH|ahczwj.gov.cn
AH|ahczzs.gov.cn
AH|ahczzx.gov.cn
AH|ahda.gov.cn
AH|ahdc.gov.cn
AH|ahdfz.gov.cn
AH|ahdj.gov.cn
AH|ahdkj.gov.cn
AH|ahds.gov.cn
AH|ahdtrsj.gov.cn
AH|ahdx.gov.cn
AH|ahdy.gov.cn
AH|ahdzch.gov.cn
AH|ahdzj.gov.cn
AH|ahdzjjkfq.gov.cn
AH|ahecs.gov.cn
AH|ahedt.gov.cn
AH|ahedu.gov.cn
AH|aheic.gov.cn
AH|ahemc.gov.cn
AH|aheport.gov.cn
AH|aheq.gov.cn
AH|ahfao.gov.cn
AH|ahfc.gov.cn
AH|ahfdzx.gov.cn
AH|ahfeixi.gov.cn
AH|ahfeixird.gov.cn
AH|ahfgb.gov.cn
AH|ahfn.gov.cn
AH|ahft.gov.cn
AH|ahfxrsj.gov.cn
AH|ahfyfda.gov.cn
AH|ahfyly.gov.cn
AH|ahfyrd.gov.cn
AH|ahfzb.gov.cn
AH|ahga.gov.cn
AH|ahgaodian.gov.cn
AH|ahgbjy.gov.cn
AH|ahgc.gov.cn
AH|ahgcrd.gov.cn
AH|ahgczx.gov.cn
AH|ahgd.gov.cn
AH|ahggz.gov.cn
AH|ahggzp.gov.cn
AH|ahgj.gov.cn
AH|ahgjj.gov.cn
AH|ahgtt.gov.cn
AH|ahgygtj.gov.cn
AH|ahgzw.gov.cn
AH|ahgzzgh.gov.cn
AH|ahhbls.gov.cn
AH|ahhb-l-tax.gov.cn
AH|ahhbly.gov.cn
AH|ahhbrd.gov.cn
AH|ahhbzx.gov.cn
AH|ahhfld.gov.cn
AH|ahhfly.gov.cn
AH|ahhfyhxf.gov.cn
AH|ahhj.gov.cn
AH|ahhn.gov.cn
AH|ahhnczj.gov.cn
AH|ahhnda.gov.cn
AH|ahhnfl.gov.cn
AH|ahhnfy.gov.cn
AH|ahhn-l-tax.gov.cn
AH|ahhnly.gov.cn
AH|ahhnrsj.gov.cn
AH|ahhntzb.gov.cn
AH|ahhnzx.gov.cn
AH|ahhp.gov.cn
AH|ahhs.gov.cn
AH|ahhsbb.gov.cn
AH|ahhscz.gov.cn
AH|ahhsjj.gov.cn
AH|ahhs-l-tax.gov.cn
AH|ahhsly.gov.cn
AH|ahhsmz.gov.cn
AH|ahhsrd.gov.cn
AH|ahhsz.gov.cn
AH|ahhuoshan.gov.cn
AH|ahhy.gov.cn
AH|ahhz.gov.cn
AH|ahie.gov.cn
AH|ahinfo.gov.cn
AH|ahinvest.gov.cn
AH|ahipo.gov.cn
AH|ahjcy.gov.cn
AH|ahjd.gov.cn
AH|ahjdj.gov.cn
AH|ahjgbzw.gov.cn
AH|ahjh.gov.cn
AH|ahjinzhai.gov.cn
AH|ahjjjc.gov.cn
AH|ahjn.gov.cn
AH|ahjr.gov.cn
AH|ahjs.gov.cn
AH|ahjst.gov.cn
AH|ahjt.gov.cn
AH|ahjx.gov.cn
AH|ahjxbb.gov.cn
AH|ahjxgh.gov.cn
AH|ahjxrd.gov.cn
AH|ahjxw.gov.cn
AH|ahjxzx.gov.cn
AH|ahjy.gov.cn
AH|ahjygl.gov.cn
AH|ahjyj.gov.cn
AH|ahjz.gov.cn
AH|ahjzcz.gov.cn
AH|ahjzztb.gov.cn
AH|ahkj.gov.cn
AH|ahkjt.gov.cn
AH|ahlads.gov.cn
AH|ahlakfq.gov.cn
AH|ahla-l-tax.gov.cn
AH|ahlard.gov.cn
AH|ahlazw.gov.cn
AH|ahlbly.gov.cn
AH|ahlgbj.gov.cn
AH|ahlj.gov.cn
AH|ahljny.gov.cn
AH|ahls.gov.cn
AH|ah-l-tax.gov.cn
AH|ahlx.gov.cn
AH|ahlxjy.gov.cn
AH|ahly.gov.cn
AH|ahlyj.gov.cn
AH|ahmap.gov.cn
AH|ahmasdj.gov.cn
AH|ahmasepa.gov.cn
AH|ahmasly.gov.cn
AH|ahmassrj.gov.cn
AH|ahmcrd.gov.cn
AH|ahmczx.gov.cn
AH|ahmg.gov.cn
AH|ahmhxc.gov.cn
AH|ahmm.gov.cn
AH|ahmwzjj.gov.cn
AH|ahmz.gov.cn
AH|ahnjh.gov.cn
AH|ahnpo.gov.cn
AH|ahnqly.gov.cn
AH|ah-n-tax.gov.cn
AH|ahnw.gov.cn
AH|ahny.gov.cn
AH|ahosta.gov.cn
AH|ahpc.gov.cn
AH|ahpf.gov.cn
AH|ahpi.gov.cn
AH|ahpress.gov.cn
AH|ahqi.gov.cn
AH|ahqimen.gov.cn
AH|ahqjhb.gov.cn
AH|ahqjrd.gov.cn
AH|ahqsjjw.gov.cn
AH|ahqsrd.gov.cn
AH|ahqszx.gov.cn
AH|ahqx.gov.cn
AH|ahqy.gov.cn
AH|ahqyx.gov.cn
AH|ahrc.gov.cn
AH|ahrcfw.gov.cn
AH|ahrd.gov.cn
AH|ahrfb.gov.cn
AH|ahscly.gov.cn
AH|ahscsj.gov.cn
AH|ahsfs.gov.cn
AH|ahsft.gov.cn
AH|ahsgj.gov.cn
AH|ahsh.gov.cn
AH|ahshitai.gov.cn
AH|ahshx.gov.cn
AH|ahsj.gov.cn
AH|ahsjdcd.gov.cn
AH|ahskym.gov.cn
AH|ahsl.gov.cn
AH|ahsourcing.gov.cn
AH|ahsp.gov.cn
AH|ahsscz.gov.cn
AH|ahst.gov.cn
AH|ahstfl.gov.cn
AH|ahsw.gov.cn
AH|ahsx.gov.cn
AH|ahsxcz.gov.cn
AH|ahsxjjjc.gov.cn
AH|ahsxjy.gov.cn
AH|ahsxrd.gov.cn
AH|ahsz.gov.cn
AH|ahszcg.gov.cn
AH|ahszcoop.gov.cn
AH|ahszdj.gov.cn
AH|ahszdx.gov.cn
AH|ahszec.gov.cn
AH|ahszepb.gov.cn
AH|ahszgjj.gov.cn
AH|ahszgw.gov.cn
AH|ahszjj.gov.cn
AH|ahszkfq.gov.cn
AH|ahszkj.gov.cn
AH|ahszls.gov.cn
AH|ahszly.gov.cn
AH|ahszmz.gov.cn
AH|ahszny.gov.cn
AH|ahszrd.gov.cn
AH|ahszwjw.gov.cn
AH|ahszxz.gov.cn
AH|ahszzx.gov.cn
AH|ahta.gov.cn
AH|ahtc.gov.cn
AH|ahtcfy.gov.cn
AH|ahtczxw.gov.cn
AH|ahtjj.gov.cn
